"d1_1","d1_2","d1_3","d1_4","D2_rideshare","D2_metro_LADOT","D2_navigation","d3_1","d3_2","d3_3","D4","D5","D6","D7","d8_1","d8_2","d8_3","d8_4","vector_representation","Arch_ID","Stratum"
1,1,1,0,1,2,3,0,0,1,4,1,1,1,1,0,0,0,"D1=[1,1,1,0]; D2=[1,2,3]; D3=[0,0,1]; D4=4; D5=1; D6=1; D7=1; D8=[1,0,0,0]",14,"D5=1_D6=1"
1,1,0,1,2,2,2,1,0,1,5,0,1,2,0,1,1,1,"D1=[1,1,0,1]; D2=[2,2,2]; D3=[1,0,1]; D4=5; D5=0; D6=1; D7=2; D8=[0,1,1,1]",15,"D5=0_D6=1"
1,0,0,1,1,3,2,0,1,0,5,0,0,3,1,1,0,1,"D1=[1,0,0,1]; D2=[1,3,2]; D3=[0,1,0]; D4=5; D5=0; D6=0; D7=3; D8=[1,1,0,1]",16,"D5=0_D6=0"
1,0,1,0,2,1,1,1,1,1,2,0,0,1,0,1,1,0,"D1=[1,0,1,0]; D2=[2,1,1]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=1; D8=[0,1,1,0]",17,"D5=0_D6=0"
1,1,0,1,3,1,1,0,1,0,5,0,0,1,0,1,0,1,"D1=[1,1,0,1]; D2=[3,1,1]; D3=[0,1,0]; D4=5; D5=0; D6=0; D7=1; D8=[0,1,0,1]",18,"D5=0_D6=0"
0,1,0,0,3,3,2,1,1,1,2,1,1,1,1,0,0,1,"D1=[0,1,0,0]; D2=[3,3,2]; D3=[1,1,1]; D4=2; D5=1; D6=1; D7=1; D8=[1,0,0,1]",19,"D5=1_D6=1"
1,0,0,0,3,3,1,0,0,1,5,0,1,2,1,0,0,1,"D1=[1,0,0,0]; D2=[3,3,1]; D3=[0,0,1]; D4=5; D5=0; D6=1; D7=2; D8=[1,0,0,1]",20,"D5=0_D6=1"
0,1,1,0,3,3,3,0,0,1,2,0,1,1,1,0,1,0,"D1=[0,1,1,0]; D2=[3,3,3]; D3=[0,0,1]; D4=2; D5=0; D6=1; D7=1; D8=[1,0,1,0]",21,"D5=0_D6=1"
1,1,0,1,3,3,2,0,1,1,4,0,1,1,0,1,0,1,"D1=[1,1,0,1]; D2=[3,3,2]; D3=[0,1,1]; D4=4; D5=0; D6=1; D7=1; D8=[0,1,0,1]",22,"D5=0_D6=1"
0,1,0,0,1,2,3,0,1,0,5,0,1,1,1,1,1,0,"D1=[0,1,0,0]; D2=[1,2,3]; D3=[0,1,0]; D4=5; D5=0; D6=1; D7=1; D8=[1,1,1,0]",23,"D5=0_D6=1"
1,0,0,1,3,1,2,0,1,1,1,1,1,2,1,0,0,1,"D1=[1,0,0,1]; D2=[3,1,2]; D3=[0,1,1]; D4=1; D5=1; D6=1; D7=2; D8=[1,0,0,1]",24,"D5=1_D6=1"
0,0,0,1,1,2,2,1,0,1,1,0,0,2,1,0,0,1,"D1=[0,0,0,1]; D2=[1,2,2]; D3=[1,0,1]; D4=1; D5=0; D6=0; D7=2; D8=[1,0,0,1]",25,"D5=0_D6=0"
0,0,1,1,2,3,3,0,1,0,4,0,0,2,0,1,0,1,"D1=[0,0,1,1]; D2=[2,3,3]; D3=[0,1,0]; D4=4; D5=0; D6=0; D7=2; D8=[0,1,0,1]",26,"D5=0_D6=0"
1,1,0,1,1,2,3,0,1,0,4,1,1,3,1,0,1,0,"D1=[1,1,0,1]; D2=[1,2,3]; D3=[0,1,0]; D4=4; D5=1; D6=1; D7=3; D8=[1,0,1,0]",27,"D5=1_D6=1"
0,1,0,0,3,3,3,0,1,1,5,0,0,3,0,0,1,1,"D1=[0,1,0,0]; D2=[3,3,3]; D3=[0,1,1]; D4=5; D5=0; D6=0; D7=3; D8=[0,0,1,1]",28,"D5=0_D6=0"
0,0,1,0,2,2,3,1,1,1,1,0,0,2,0,0,1,1,"D1=[0,0,1,0]; D2=[2,2,3]; D3=[1,1,1]; D4=1; D5=0; D6=0; D7=2; D8=[0,0,1,1]",29,"D5=0_D6=0"
1,1,0,1,2,1,2,1,1,1,5,0,0,3,1,1,0,1,"D1=[1,1,0,1]; D2=[2,1,2]; D3=[1,1,1]; D4=5; D5=0; D6=0; D7=3; D8=[1,1,0,1]",30,"D5=0_D6=0"
1,0,0,1,2,3,3,1,1,1,3,0,0,2,0,1,1,0,"D1=[1,0,0,1]; D2=[2,3,3]; D3=[1,1,1]; D4=3; D5=0; D6=0; D7=2; D8=[0,1,1,0]",31,"D5=0_D6=0"
0,0,0,1,1,2,3,0,1,0,2,1,1,1,1,0,0,0,"D1=[0,0,0,1]; D2=[1,2,3]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[1,0,0,0]",32,"D5=1_D6=1"
0,0,0,1,2,1,3,0,1,0,5,0,0,2,0,0,1,1,"D1=[0,0,0,1]; D2=[2,1,3]; D3=[0,1,0]; D4=5; D5=0; D6=0; D7=2; D8=[0,0,1,1]",33,"D5=0_D6=0"
0,0,1,1,3,2,1,1,1,0,5,1,1,1,1,0,1,0,"D1=[0,0,1,1]; D2=[3,2,1]; D3=[1,1,0]; D4=5; D5=1; D6=1; D7=1; D8=[1,0,1,0]",34,"D5=1_D6=1"
1,1,0,0,2,3,2,1,0,0,4,1,1,3,0,1,0,1,"D1=[1,1,0,0]; D2=[2,3,2]; D3=[1,0,0]; D4=4; D5=1; D6=1; D7=3; D8=[0,1,0,1]",35,"D5=1_D6=1"
0,0,1,1,3,1,3,1,1,0,3,0,0,2,1,0,1,0,"D1=[0,0,1,1]; D2=[3,1,3]; D3=[1,1,0]; D4=3; D5=0; D6=0; D7=2; D8=[1,0,1,0]",36,"D5=0_D6=0"
0,0,0,1,3,2,3,0,0,1,4,1,1,1,1,0,1,1,"D1=[0,0,0,1]; D2=[3,2,3]; D3=[0,0,1]; D4=4; D5=1; D6=1; D7=1; D8=[1,0,1,1]",37,"D5=1_D6=1"
1,0,1,0,2,1,1,1,0,0,2,0,1,3,0,1,1,1,"D1=[1,0,1,0]; D2=[2,1,1]; D3=[1,0,0]; D4=2; D5=0; D6=1; D7=3; D8=[0,1,1,1]",38,"D5=0_D6=1"
1,0,0,1,3,1,3,0,1,1,2,0,0,2,1,1,0,0,"D1=[1,0,0,1]; D2=[3,1,3]; D3=[0,1,1]; D4=2; D5=0; D6=0; D7=2; D8=[1,1,0,0]",39,"D5=0_D6=0"
0,1,1,0,2,1,1,0,1,0,3,0,1,3,1,0,0,1,"D1=[0,1,1,0]; D2=[2,1,1]; D3=[0,1,0]; D4=3; D5=0; D6=1; D7=3; D8=[1,0,0,1]",40,"D5=0_D6=1"
1,0,1,1,3,2,3,0,1,1,4,1,1,3,1,1,1,0,"D1=[1,0,1,1]; D2=[3,2,3]; D3=[0,1,1]; D4=4; D5=1; D6=1; D7=3; D8=[1,1,1,0]",41,"D5=1_D6=1"
0,1,0,0,2,2,3,1,0,0,5,0,1,3,0,1,1,0,"D1=[0,1,0,0]; D2=[2,2,3]; D3=[1,0,0]; D4=5; D5=0; D6=1; D7=3; D8=[0,1,1,0]",42,"D5=0_D6=1"
0,1,0,1,1,3,1,1,0,0,1,0,0,3,1,1,0,0,"D1=[0,1,0,1]; D2=[1,3,1]; D3=[1,0,0]; D4=1; D5=0; D6=0; D7=3; D8=[1,1,0,0]",43,"D5=0_D6=0"
1,1,1,0,2,1,1,1,1,1,2,0,1,2,1,1,0,1,"D1=[1,1,1,0]; D2=[2,1,1]; D3=[1,1,1]; D4=2; D5=0; D6=1; D7=2; D8=[1,1,0,1]",44,"D5=0_D6=1"
0,1,0,0,2,2,2,1,1,0,2,1,1,3,0,1,1,0,"D1=[0,1,0,0]; D2=[2,2,2]; D3=[1,1,0]; D4=2; D5=1; D6=1; D7=3; D8=[0,1,1,0]",45,"D5=1_D6=1"
1,1,0,0,2,2,3,1,0,0,5,0,0,2,0,0,0,1,"D1=[1,1,0,0]; D2=[2,2,3]; D3=[1,0,0]; D4=5; D5=0; D6=0; D7=2; D8=[0,0,0,1]",46,"D5=0_D6=0"
0,0,0,1,1,1,2,0,1,0,2,1,1,1,1,0,0,0,"D1=[0,0,0,1]; D2=[1,1,2]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[1,0,0,0]",47,"D5=1_D6=1"
0,0,0,1,3,3,2,0,1,1,1,0,0,2,1,0,0,1,"D1=[0,0,0,1]; D2=[3,3,2]; D3=[0,1,1]; D4=1; D5=0; D6=0; D7=2; D8=[1,0,0,1]",48,"D5=0_D6=0"
0,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,1,"D1=[0,1,1,1]; D2=[1,1,1]; D3=[1,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[1,1,0,1]",49,"D5=1_D6=1"
1,0,0,0,3,3,1,0,0,1,1,0,1,2,0,1,0,0,"D1=[1,0,0,0]; D2=[3,3,1]; D3=[0,0,1]; D4=1; D5=0; D6=1; D7=2; D8=[0,1,0,0]",50,"D5=0_D6=1"
0,0,0,1,1,3,3,1,1,1,5,0,1,2,0,1,1,1,"D1=[0,0,0,1]; D2=[1,3,3]; D3=[1,1,1]; D4=5; D5=0; D6=1; D7=2; D8=[0,1,1,1]",51,"D5=0_D6=1"
1,1,0,1,3,1,2,0,1,0,1,1,1,3,1,1,1,0,"D1=[1,1,0,1]; D2=[3,1,2]; D3=[0,1,0]; D4=1; D5=1; D6=1; D7=3; D8=[1,1,1,0]",52,"D5=1_D6=1"
1,0,0,1,2,2,3,0,1,1,3,0,0,3,0,0,0,1,"D1=[1,0,0,1]; D2=[2,2,3]; D3=[0,1,1]; D4=3; D5=0; D6=0; D7=3; D8=[0,0,0,1]",53,"D5=0_D6=0"
0,0,1,1,2,1,3,1,0,1,5,1,1,2,1,1,1,0,"D1=[0,0,1,1]; D2=[2,1,3]; D3=[1,0,1]; D4=5; D5=1; D6=1; D7=2; D8=[1,1,1,0]",54,"D5=1_D6=1"
1,0,0,1,1,1,1,1,0,0,3,0,1,1,1,1,1,0,"D1=[1,0,0,1]; D2=[1,1,1]; D3=[1,0,0]; D4=3; D5=0; D6=1; D7=1; D8=[1,1,1,0]",55,"D5=0_D6=1"
1,1,0,0,3,1,2,1,1,0,3,1,1,3,0,1,0,0,"D1=[1,1,0,0]; D2=[3,1,2]; D3=[1,1,0]; D4=3; D5=1; D6=1; D7=3; D8=[0,1,0,0]",56,"D5=1_D6=1"
0,1,0,1,3,2,1,1,0,0,3,0,0,1,0,0,1,1,"D1=[0,1,0,1]; D2=[3,2,1]; D3=[1,0,0]; D4=3; D5=0; D6=0; D7=1; D8=[0,0,1,1]",57,"D5=0_D6=0"
1,1,0,1,3,2,2,0,0,1,1,0,0,2,1,0,0,1,"D1=[1,1,0,1]; D2=[3,2,2]; D3=[0,0,1]; D4=1; D5=0; D6=0; D7=2; D8=[1,0,0,1]",58,"D5=0_D6=0"
1,0,1,1,2,2,3,1,1,1,2,0,0,1,1,0,0,1,"D1=[1,0,1,1]; D2=[2,2,3]; D3=[1,1,1]; D4=2; D5=0; D6=0; D7=1; D8=[1,0,0,1]",59,"D5=0_D6=0"
1,1,0,1,3,3,1,1,0,0,4,1,1,1,0,0,1,1,"D1=[1,1,0,1]; D2=[3,3,1]; D3=[1,0,0]; D4=4; D5=1; D6=1; D7=1; D8=[0,0,1,1]",60,"D5=1_D6=1"
0,1,0,1,3,2,3,1,1,0,3,0,1,1,0,1,0,0,"D1=[0,1,0,1]; D2=[3,2,3]; D3=[1,1,0]; D4=3; D5=0; D6=1; D7=1; D8=[0,1,0,0]",61,"D5=0_D6=1"
0,1,1,1,1,2,2,0,0,1,2,0,0,3,1,0,1,1,"D1=[0,1,1,1]; D2=[1,2,2]; D3=[0,0,1]; D4=2; D5=0; D6=0; D7=3; D8=[1,0,1,1]",62,"D5=0_D6=0"
1,0,1,0,2,2,1,0,1,1,3,1,1,2,1,0,0,0,"D1=[1,0,1,0]; D2=[2,2,1]; D3=[0,1,1]; D4=3; D5=1; D6=1; D7=2; D8=[1,0,0,0]",63,"D5=1_D6=1"
1,0,1,0,2,2,1,0,1,0,3,1,1,2,0,0,1,0,"D1=[1,0,1,0]; D2=[2,2,1]; D3=[0,1,0]; D4=3; D5=1; D6=1; D7=2; D8=[0,0,1,0]",64,"D5=1_D6=1"
1,0,1,1,2,2,3,0,1,1,1,0,1,1,1,0,0,1,"D1=[1,0,1,1]; D2=[2,2,3]; D3=[0,1,1]; D4=1; D5=0; D6=1; D7=1; D8=[1,0,0,1]",65,"D5=0_D6=1"
0,0,1,1,1,1,3,0,1,0,4,0,1,2,1,0,1,0,"D1=[0,0,1,1]; D2=[1,1,3]; D3=[0,1,0]; D4=4; D5=0; D6=1; D7=2; D8=[1,0,1,0]",66,"D5=0_D6=1"
1,0,1,1,1,2,3,1,1,1,5,1,1,3,0,0,0,1,"D1=[1,0,1,1]; D2=[1,2,3]; D3=[1,1,1]; D4=5; D5=1; D6=1; D7=3; D8=[0,0,0,1]",67,"D5=1_D6=1"
1,0,0,0,2,2,3,1,1,0,2,0,0,1,1,1,1,0,"D1=[1,0,0,0]; D2=[2,2,3]; D3=[1,1,0]; D4=2; D5=0; D6=0; D7=1; D8=[1,1,1,0]",68,"D5=0_D6=0"
1,0,0,1,3,1,1,1,1,1,2,1,1,1,0,1,1,1,"D1=[1,0,0,1]; D2=[3,1,1]; D3=[1,1,1]; D4=2; D5=1; D6=1; D7=1; D8=[0,1,1,1]",69,"D5=1_D6=1"
1,1,0,1,3,2,3,1,0,0,2,0,1,2,0,1,0,0,"D1=[1,1,0,1]; D2=[3,2,3]; D3=[1,0,0]; D4=2; D5=0; D6=1; D7=2; D8=[0,1,0,0]",70,"D5=0_D6=1"
1,1,0,1,3,2,1,0,1,1,5,0,1,3,1,0,0,0,"D1=[1,1,0,1]; D2=[3,2,1]; D3=[0,1,1]; D4=5; D5=0; D6=1; D7=3; D8=[1,0,0,0]",71,"D5=0_D6=1"
1,1,0,1,2,3,1,1,0,1,4,0,0,3,0,1,0,1,"D1=[1,1,0,1]; D2=[2,3,1]; D3=[1,0,1]; D4=4; D5=0; D6=0; D7=3; D8=[0,1,0,1]",72,"D5=0_D6=0"
1,1,1,1,2,1,1,1,1,1,2,0,1,2,1,0,1,0,"D1=[1,1,1,1]; D2=[2,1,1]; D3=[1,1,1]; D4=2; D5=0; D6=1; D7=2; D8=[1,0,1,0]",73,"D5=0_D6=1"
0,0,1,1,1,3,2,1,1,0,1,0,1,1,1,0,0,1,"D1=[0,0,1,1]; D2=[1,3,2]; D3=[1,1,0]; D4=1; D5=0; D6=1; D7=1; D8=[1,0,0,1]",74,"D5=0_D6=1"
1,0,0,1,1,1,3,0,0,1,3,1,1,3,0,0,1,0,"D1=[1,0,0,1]; D2=[1,1,3]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=3; D8=[0,0,1,0]",75,"D5=1_D6=1"
1,1,1,0,1,3,1,1,1,1,1,0,1,1,1,1,1,1,"D1=[1,1,1,0]; D2=[1,3,1]; D3=[1,1,1]; D4=1; D5=0; D6=1; D7=1; D8=[1,1,1,1]",76,"D5=0_D6=1"
1,0,0,1,2,3,2,1,1,0,2,1,1,3,1,0,0,1,"D1=[1,0,0,1]; D2=[2,3,2]; D3=[1,1,0]; D4=2; D5=1; D6=1; D7=3; D8=[1,0,0,1]",77,"D5=1_D6=1"
0,0,1,0,3,2,3,1,1,0,4,1,1,2,1,0,0,0,"D1=[0,0,1,0]; D2=[3,2,3]; D3=[1,1,0]; D4=4; D5=1; D6=1; D7=2; D8=[1,0,0,0]",78,"D5=1_D6=1"
0,0,1,0,2,3,2,0,0,1,5,0,0,1,0,0,1,1,"D1=[0,0,1,0]; D2=[2,3,2]; D3=[0,0,1]; D4=5; D5=0; D6=0; D7=1; D8=[0,0,1,1]",79,"D5=0_D6=0"
0,1,0,0,3,3,2,0,1,1,2,0,1,3,0,0,1,1,"D1=[0,1,0,0]; D2=[3,3,2]; D3=[0,1,1]; D4=2; D5=0; D6=1; D7=3; D8=[0,0,1,1]",80,"D5=0_D6=1"
0,1,1,1,3,3,1,1,0,0,5,0,1,2,0,0,1,1,"D1=[0,1,1,1]; D2=[3,3,1]; D3=[1,0,0]; D4=5; D5=0; D6=1; D7=2; D8=[0,0,1,1]",81,"D5=0_D6=1"
0,1,0,1,3,3,1,1,0,1,5,0,0,3,0,1,0,0,"D1=[0,1,0,1]; D2=[3,3,1]; D3=[1,0,1]; D4=5; D5=0; D6=0; D7=3; D8=[0,1,0,0]",82,"D5=0_D6=0"
0,1,1,1,3,1,2,1,0,1,5,0,1,2,1,0,0,0,"D1=[0,1,1,1]; D2=[3,1,2]; D3=[1,0,1]; D4=5; D5=0; D6=1; D7=2; D8=[1,0,0,0]",83,"D5=0_D6=1"
0,1,1,0,3,2,3,0,1,1,3,1,1,3,0,1,1,1,"D1=[0,1,1,0]; D2=[3,2,3]; D3=[0,1,1]; D4=3; D5=1; D6=1; D7=3; D8=[0,1,1,1]",84,"D5=1_D6=1"
1,1,1,0,3,3,2,1,0,0,3,0,0,3,0,1,0,1,"D1=[1,1,1,0]; D2=[3,3,2]; D3=[1,0,0]; D4=3; D5=0; D6=0; D7=3; D8=[0,1,0,1]",85,"D5=0_D6=0"
0,0,1,0,3,2,2,1,0,0,1,0,0,3,1,1,1,1,"D1=[0,0,1,0]; D2=[3,2,2]; D3=[1,0,0]; D4=1; D5=0; D6=0; D7=3; D8=[1,1,1,1]",86,"D5=0_D6=0"
1,1,0,1,2,2,1,1,1,0,5,0,0,3,0,0,1,0,"D1=[1,1,0,1]; D2=[2,2,1]; D3=[1,1,0]; D4=5; D5=0; D6=0; D7=3; D8=[0,0,1,0]",87,"D5=0_D6=0"
0,1,0,1,1,1,1,0,1,0,1,0,1,3,1,0,0,1,"D1=[0,1,0,1]; D2=[1,1,1]; D3=[0,1,0]; D4=1; D5=0; D6=1; D7=3; D8=[1,0,0,1]",88,"D5=0_D6=1"
0,1,1,0,1,3,1,1,0,1,2,1,1,2,1,0,1,0,"D1=[0,1,1,0]; D2=[1,3,1]; D3=[1,0,1]; D4=2; D5=1; D6=1; D7=2; D8=[1,0,1,0]",89,"D5=1_D6=1"
0,1,1,0,1,2,1,0,1,1,3,0,1,2,1,1,1,0,"D1=[0,1,1,0]; D2=[1,2,1]; D3=[0,1,1]; D4=3; D5=0; D6=1; D7=2; D8=[1,1,1,0]",90,"D5=0_D6=1"
0,1,0,0,3,1,1,1,0,1,5,1,1,3,0,0,1,0,"D1=[0,1,0,0]; D2=[3,1,1]; D3=[1,0,1]; D4=5; D5=1; D6=1; D7=3; D8=[0,0,1,0]",91,"D5=1_D6=1"
0,0,1,0,2,1,3,0,1,0,2,1,1,1,0,1,1,1,"D1=[0,0,1,0]; D2=[2,1,3]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[0,1,1,1]",92,"D5=1_D6=1"
0,0,1,1,3,3,1,0,1,1,3,1,1,3,0,0,1,1,"D1=[0,0,1,1]; D2=[3,3,1]; D3=[0,1,1]; D4=3; D5=1; D6=1; D7=3; D8=[0,0,1,1]",93,"D5=1_D6=1"
0,1,0,1,1,1,2,1,1,0,5,0,0,3,0,0,0,1,"D1=[0,1,0,1]; D2=[1,1,2]; D3=[1,1,0]; D4=5; D5=0; D6=0; D7=3; D8=[0,0,0,1]",94,"D5=0_D6=0"
1,1,1,0,1,1,3,0,1,1,1,0,0,3,0,1,1,0,"D1=[1,1,1,0]; D2=[1,1,3]; D3=[0,1,1]; D4=1; D5=0; D6=0; D7=3; D8=[0,1,1,0]",95,"D5=0_D6=0"
1,1,1,0,1,1,2,1,0,1,2,1,1,3,0,1,0,1,"D1=[1,1,1,0]; D2=[1,1,2]; D3=[1,0,1]; D4=2; D5=1; D6=1; D7=3; D8=[0,1,0,1]",96,"D5=1_D6=1"
0,1,1,1,3,2,3,1,0,1,3,0,0,2,0,0,1,0,"D1=[0,1,1,1]; D2=[3,2,3]; D3=[1,0,1]; D4=3; D5=0; D6=0; D7=2; D8=[0,0,1,0]",97,"D5=0_D6=0"
1,1,1,1,3,2,3,0,0,1,1,0,0,2,0,1,1,1,"D1=[1,1,1,1]; D2=[3,2,3]; D3=[0,0,1]; D4=1; D5=0; D6=0; D7=2; D8=[0,1,1,1]",98,"D5=0_D6=0"
0,1,1,0,2,2,1,1,1,0,1,0,0,1,0,1,0,0,"D1=[0,1,1,0]; D2=[2,2,1]; D3=[1,1,0]; D4=1; D5=0; D6=0; D7=1; D8=[0,1,0,0]",99,"D5=0_D6=0"
1,0,0,1,1,2,2,1,1,0,4,0,1,2,0,1,1,0,"D1=[1,0,0,1]; D2=[1,2,2]; D3=[1,1,0]; D4=4; D5=0; D6=1; D7=2; D8=[0,1,1,0]",100,"D5=0_D6=1"
1,1,1,0,2,2,1,1,1,0,5,0,0,3,0,1,0,0,"D1=[1,1,1,0]; D2=[2,2,1]; D3=[1,1,0]; D4=5; D5=0; D6=0; D7=3; D8=[0,1,0,0]",101,"D5=0_D6=0"
0,1,0,1,1,3,2,1,1,1,1,0,1,2,1,1,1,0,"D1=[0,1,0,1]; D2=[1,3,2]; D3=[1,1,1]; D4=1; D5=0; D6=1; D7=2; D8=[1,1,1,0]",102,"D5=0_D6=1"
0,1,1,1,3,1,3,0,0,1,5,0,1,2,0,1,1,1,"D1=[0,1,1,1]; D2=[3,1,3]; D3=[0,0,1]; D4=5; D5=0; D6=1; D7=2; D8=[0,1,1,1]",103,"D5=0_D6=1"
0,0,1,1,3,1,1,0,0,1,1,0,1,2,0,0,0,1,"D1=[0,0,1,1]; D2=[3,1,1]; D3=[0,0,1]; D4=1; D5=0; D6=1; D7=2; D8=[0,0,0,1]",104,"D5=0_D6=1"
0,1,1,1,1,2,3,0,0,1,5,0,1,1,1,1,0,0,"D1=[0,1,1,1]; D2=[1,2,3]; D3=[0,0,1]; D4=5; D5=0; D6=1; D7=1; D8=[1,1,0,0]",105,"D5=0_D6=1"
1,1,0,0,1,2,2,1,1,0,1,1,1,1,0,0,1,1,"D1=[1,1,0,0]; D2=[1,2,2]; D3=[1,1,0]; D4=1; D5=1; D6=1; D7=1; D8=[0,0,1,1]",106,"D5=1_D6=1"
1,1,1,0,2,2,2,0,0,1,3,0,1,1,1,0,0,0,"D1=[1,1,1,0]; D2=[2,2,2]; D3=[0,0,1]; D4=3; D5=0; D6=1; D7=1; D8=[1,0,0,0]",107,"D5=0_D6=1"
0,0,1,0,2,1,1,1,0,0,2,1,1,1,0,0,1,1,"D1=[0,0,1,0]; D2=[2,1,1]; D3=[1,0,0]; D4=2; D5=1; D6=1; D7=1; D8=[0,0,1,1]",108,"D5=1_D6=1"
1,1,0,1,1,3,2,0,0,1,3,1,1,2,0,1,0,1,"D1=[1,1,0,1]; D2=[1,3,2]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=2; D8=[0,1,0,1]",109,"D5=1_D6=1"
0,0,0,1,3,2,2,0,0,1,3,1,1,2,1,0,0,0,"D1=[0,0,0,1]; D2=[3,2,2]; D3=[0,0,1]; D4=3; D5=1; D6=1; D7=2; D8=[1,0,0,0]",110,"D5=1_D6=1"
1,1,1,0,2,3,3,1,0,0,5,1,1,3,0,1,1,1,"D1=[1,1,1,0]; D2=[2,3,3]; D3=[1,0,0]; D4=5; D5=1; D6=1; D7=3; D8=[0,1,1,1]",111,"D5=1_D6=1"
0,0,0,1,1,2,2,1,1,1,4,0,1,2,0,1,1,0,"D1=[0,0,0,1]; D2=[1,2,2]; D3=[1,1,1]; D4=4; D5=0; D6=1; D7=2; D8=[0,1,1,0]",112,"D5=0_D6=1"
1,1,0,1,1,1,1,0,1,0,2,1,1,1,1,1,1,1,"D1=[1,1,0,1]; D2=[1,1,1]; D3=[0,1,0]; D4=2; D5=1; D6=1; D7=1; D8=[1,1,1,1]",113,"D5=1_D6=1"
1,1,1,1,3,1,1,0,1,0,2,0,1,3,1,1,1,0,"D1=[1,1,1,1]; D2=[3,1,1]; D3=[0,1,0]; D4=2; D5=0; D6=1; D7=3; D8=[1,1,1,0]",114,"D5=0_D6=1"
1,0,1,1,3,1,2,1,1,1,5,1,1,1,1,0,0,1,"D1=[1,0,1,1]; D2=[3,1,2]; D3=[1,1,1]; D4=5; D5=1; D6=1; D7=1; D8=[1,0,0,1]",115,"D5=1_D6=1"
